10/05/2016,Jantar,Saladas Diversas Bife à caçarola Opção Vegetariana: Almondega de PVT Macarrão Sobremesa: Pudim de Chocolate Laranja Minipão Suco
11/05/2016,Almoço,Saladas Diversas Salsicha ao molho sugo Opção Vegetariana: PVT Rico Purê de batata Sobremesa: Arroz doce Mamão Minipão Suco
11/05/2016,Jantar,Saladas Diversas Copa-Lombo ao molho de Limão Opção Vegetariana: PVT Gratinado Couve Refogada Sobremesa: Curau Banana Minipão Suco
12/05/2016,Almoço,Strogonoff de Frango Opção Vegetariana: Ovo Cozido Batata Palha Sobremesa: Doce de Goiabada Laranja Minipão Suco
12/05/2016,Jantar,Kibe de Forno Opção Vegetariana: PVT Caipira Repolho refogado Sobremesa: Gelatina de Framboesa Caqui Minipão Suco
13/05/2016,Almoço,Saladas Diversas Escondidinho de Carne moída Opção Vegetariana: PVT com Legumes Virado de Acelga Sobremesa: Gelatina de Abacaxi Caqui Minipão Suco
13/05/2016,Jantar,Saladas Diversas Frango Xadrez Opção Vegetariana: PVT Xadrez Batata Sautê Sobremesa: Flan de Papaya laranja Minipão Suco
16/05/2016,Almoço,Saladas Diversas Fricassê de Frango Opção Vegetariana: PVT a Pizzaiolo Batata Sautê Sobremesa: Pudim de Caramelo Laranja
16/05/2016,Jantar,Saladas Diversas Iscas Grelhadas ao molho Shoyu Opção Vegetariana: PVT Rico Polenta Cremosa Sobremesa: Gelatina Limão banana Minipão Suco Minipão Suco
17/05/2016,Almoço,Saladas Diversas Almondega ao Sugo Opção Vegetariana: PVT Caipira Purê de Batata Sobremesa: Doce de Leite Melancia Minipão Suco
17/05/2016,Jantar,Saladas Diversas Cupim Assado Opção Vegetariana: PVT Alemão Chuchu Refogado Sobremesa: Flan de Baunilha Ponkan Minipão Suco
18/05/2016,Jantar,Copa Lombo ao molho Agridoce Opção Vegetariana: PVT ao Vinagrete Macarrão alho e óleo Sobremesa: Arroz Doce Abacaxi Minipão Suco Minipão Suco
18/05/2016,Almoço,Bife Acebolado Opção Vegetariana: PVT com Mandioca Acelga Refogada Sobremesa: Pudim de Chocolate Banana
19/05/2016,Almoço,Saladas Diversas Jardineira de Carne moída Opção Vegetariana: PVT com jardineira de legumes Polenta Cremosa Sobremesa: Flan de Papaya Goiaba
19/05/2016,Jantar,Saladas Diversas Strogonoff de Carne Opção Vegetariana: Strogonoff de PVT Batata Palha Sobremesa: Gelatina de Morango Caqui Minipão Suco Minipão Suco
20/05/2016,Almoço,Saladas Diversas Lagarto ao Molho Madeira Opção Vegetariana: PVT Alemão Farofa Simples Sobremesa: Gelatina de framboesa Laranja Minipão SucoSábado
23/05/2016,Almoço,Saladas Diversas Bife de Panela Opção Vegetariana: PVT Gratinado Macarrão ao Sugo Sobremesa: Gelatina de Morango Laranja Minipão Suco
23/05/2016,Jantar,Saladas Diversas Filé de Coxa grelhado Opção Vegetariana: PVT com Abobrinha e Batata Batata Sauté Sobremesa: Curau Ponkan Minipão Suco
24/05/2016,Almoço,Saladas Diversas Iscas de Carne Acebolada Opção Vegetariana: PVT Rico Batata Palha Sobremesa: Doce de Leite Maçã Minipão Suco
24/05/2016,Jantar,Saladas Diversas Linguiça Acebolada Opção Vegetariana: PVT Gratinado Polenta Cremosa Sobremesa: Danette Cremoso Melancia Minipão Suco
25/05/2016,Almoço,Saladas Diversas Escondidinho de carne Opção Vegetariana: Ovo Frito Chuchu refogado Sobremesa: Arroz Doce banana Minipão Suco
25/05/2016,Jantar,Saladas Diversas Lagarto Acebolado Opção Vegetariana: PVT com Cenoura Farofa Simples Sobremesa: Gelatina de Cereja Laranja Minipão Suco
30/05/2016,Jantar,Saladas Diversas Carne moída refogada Opção Vegetariana: PVT ao Vinagrete Polenta Cremosa Sobremesa: Gelatina de Cereja Banana Minipão Suco
31/05/2016,Almoço,Saladas Diversas Strogonoff de Carne Opção Vegetariana: PVT Alemão Batata Palha Sobremesa: Pudim de Chocolate Banana Minipão Suco
31/05/2016,Jantar,Saladas Diversas Escondidinho de Carne Opção Vegetariana: Ovo Cozido Acelga Refogada Sobremesa: Doce de Cocada Cremosa Laranja Minipão Suco
